t,x,y,psi,v,
1706175578.386,47451.1445,-170589.9630,2.29585075,0.5357,
1706175578.586,47451.0613,-170589.8747,2.34366756,0.9156,
1706175578.735,47450.9413,-170589.7533,2.41395615,0.9157,
1706175579.185,47450.6742,-170589.6327,2.71725196,0.7326,
1706175579.385,47450.5545,-170589.5667,2.85465019,0.6735,
1706175579.584,47450.4166,-170589.5563,3.03413944,0.7413,
1706175579.784,47450.2603,-170589.5350,3.02002692,0.8011,
1706175580.033,47450.0580,-170589.5138,3.01706874,0.6161,
1706175580.183,47449.9845,-170589.5031,3.19391974,0.6154,
1706175580.383,47449.8285,-170589.5372,3.35660941,0.8005,
1706175580.582,47449.6725,-170589.5712,3.42314544,0.8138,
1706175580.782,47449.5165,-170589.6275,-2.78046663,0.7744,
1706175581.281,47449.1958,-170589.7844,-2.53215866,0.8934,
1706175581.430,47449.0768,-170589.8738,-2.49165824,0.8682,
1706175581.681,47448.9487,-170589.9742,-2.28842038,0.7320,
1706175581.880,47448.8575,-170590.1078,-2.28090318,0.7372,
1706175582.080,47448.7569,-170590.1971,-2.14608729,0.7959,
1706175582.280,47448.6843,-170590.3749,-2.14870238,0.8287,
1706175582.482,47448.5745,-170590.4753,-2.37889842,0.7284,
1706175582.679,47448.4740,-170590.5757,-2.52559263,0.7329,
1706175582.879,47448.3365,-170590.6429,-2.65900702,0.7241,
1706175583.079,47448.2174,-170590.7101,-2.60985129,0.7193,
1706175583.278,47448.0892,-170590.7884,-2.65866624,0.7261,
1706175583.478,47447.9608,-170590.8445,-2.65266132,0.5976,
1706175583.826,47447.8233,-170590.8896,3.09623145,0.2734,
1706175596.058,47447.3232,-170590.8216,-2.92050399,0.2594,
1706175596.257,47447.2681,-170590.8330,-2.65149107,0.4068,
1706175596.409,47446.8489,-170590.7947,-2.51953993,0.4597,
1706175596.657,47446.7757,-170590.8505,-2.49007367,0.4220,
1706175596.856,47446.7024,-170590.9064,-2.48505306,0.5497,
1706175597.056,47446.6018,-170590.9845,-2.65337039,0.6348,
1706175597.303,47446.4458,-170591.0297,-2.56898468,0.6770,
1706175597.404,47446.3909,-170591.0743,-2.55352390,0.6647,
1706175597.704,47446.2166,-170591.1196,-2.83516375,0.6478,
1706175597.904,47446.0882,-170591.1646,-2.78228255,0.5178,
1706175598.054,47446.0332,-170591.1871,-2.82613112,0.5777,
1706175598.302,47445.8221,-170591.2436,-2.86219891,0.6478,
1706175598.454,47445.7488,-170591.2662,-2.84335991,0.6205,
1706175598.653,47445.6020,-170591.3113,-2.78808962,0.8796,
1706175598.807,47445.4645,-170591.3675,-2.79881617,0.8258,
1706175599.055,47445.3176,-170591.4015,-2.86024260,0.6780,
1706175599.252,47445.1800,-170591.4466,-2.83248354,0.7479,
1706175599.552,47444.9599,-170591.5143,-2.81364222,0.8041,
1706175599.752,47444.8040,-170591.5705,-2.82535166,0.9441,
1706175599.901,47444.6572,-170591.6156,-2.82533395,0.8800,
1706175600.151,47444.5105,-170591.6718,-2.86832018,0.7210,
1706175600.351,47444.3545,-170591.7059,-2.85138492,0.7917,
1706175600.550,47444.2078,-170591.7621,-2.85138494,0.7917,
1706175600.750,47444.0517,-170591.7962,-2.85971114,0.8118,
1706175600.950,47443.8958,-170591.8525,-2.71092978,0.8088,
1706175601.149,47443.7584,-170591.9308,-2.69519716,0.9809,
1706175601.300,47443.6026,-170591.9981,-2.73931114,0.9701,
1706175601.549,47443.4375,-170592.0655,-2.76929303,0.9179,
1706175601.700,47443.2908,-170592.1218,-2.77005427,0.8734,
1706175601.948,47443.1533,-170592.1779,-2.80881207,0.6918,
1706175602.148,47443.0065,-170592.2230,-2.76411580,0.8384,
1706175602.348,47442.8415,-170592.3015,-2.68654302,0.8949,
1706175602.547,47442.6857,-170592.3800,-2.70387234,0.8624,
1706175602.747,47442.5299,-170592.4473,-2.73368293,1.0154,
1706175602.896,47442.3740,-170592.5147,-2.74024334,0.9690,
1706175603.097,47442.2365,-170592.5708,-2.71116659,0.8051,
1706175603.297,47442.0807,-170592.6493,-2.74433679,0.7710,
1706175603.546,47441.9248,-170592.6944,-2.75138064,0.9094,
1706175603.697,47441.7781,-170592.7617,-2.71136176,0.9105,
1706175603.945,47441.6314,-170592.8290,-2.67407609,0.7503,
1706175604.145,47441.4848,-170592.9074,-2.72316933,0.8299,
1706175604.344,47441.3289,-170592.9637,-2.74338403,0.7980,
1706175604.544,47441.1915,-170593.0309,-2.68049873,0.8187,
1706175604.744,47441.0357,-170593.1094,-2.62676085,0.9292,
1706175604.993,47440.8250,-170593.2436,-2.77874354,0.8894,
1706175605.093,47440.7425,-170593.2662,-2.79583174,0.8275,
1706175605.294,47440.6050,-170593.3445,-2.64709124,0.7443,
1706175605.642,47440.3942,-170593.4454,-2.66468505,0.7728,
1706175605.842,47440.2476,-170593.5238,-2.50395490,0.7974,
1706175606.042,47440.1380,-170593.6353,-2.44028333,0.7783,
1706175606.242,47440.0098,-170593.7247,-2.51539001,0.7644,
1706175606.441,47439.8908,-170593.8141,-2.50392481,0.7991,
1706175606.641,47439.7535,-170593.9146,-2.53270946,0.7830,
1706175606.840,47439.6345,-170593.9928,-2.62118820,0.9437,
1706175606.989,47439.4879,-170594.0712,-2.61064840,0.9690,
1706175607.191,47439.3597,-170594.1606,-2.51530357,0.7586,
1706175607.391,47439.2407,-170594.2500,-2.47434219,0.6918,
1706175607.639,47439.1218,-170594.3504,-2.38121671,0.8217,
1706175607.790,47439.0212,-170594.4508,-2.36642840,0.8334,
1706175608.038,47438.9023,-170594.5623,-2.34402106,0.6684,
1706175608.238,47438.8110,-170594.6626,-2.37944386,0.7268,
